CustomerID,Name,Email,Address,EffectiveStartDate,EffectiveEndDate,CurrentFlag
1,John Doe,john@example.com,123 Main St,2021-01-01,2021-03-15,N
1,John Doe,john@example.com,456 Elm St,2021-03-16,2022-02-28,N
1,John Doe,john@example.com,789 Oak Ave,2022-03-01,2023-06-30,N
1,John Doe,john.doe@example.com,789 Oak Ave,2023-07-01,9999-12-31,Y
2,Jane Smith,jane@example.com,321 Pine St,2021-01-01,2022-06-30,N
2,Jane Smith,jane@example.com,555 Cedar St,2022-07-01,2023-12-31,N
2,Jane Smith,jane.smith@example.com,555 Cedar St,2024-01-01,9999-12-31,Y
3,Bob Johnson,bob@example.com,987 Elm St,2021-01-01,2021-12-31,N
3,Bob Johnson,bob@example.com,246 Oak Ave,2022-01-01,2022-08-31,N
3,Bob Johnson,bob@example.com,369 Maple Rd,2022-09-01,2023-06-30,N
3,Bob Johnson,b.johnson@example.com,369 Maple Rd,2023-07-01,9999-12-31,Y
4,Sarah Williams,sarah@example.com,789 Elm St,2021-01-01,2023-06-30,N
4,Sarah Williams,sarah.williams@example.com,246 Pine Ave,2023-07-01,9999-12-31,Y
5,Michael Brown,michael@example.com,555 Oak Ave,2021-01-01,9999-12-31,Y
6,Emily Davis,emily@example.com,123 Elm St,2021-01-01,2022-03-31,N
6,Emily Davis,emily@example.com,456 Pine Ave,2022-04-01,2022-06-30,N
6,Emily Davis,emily@example.com,789 Maple Rd,2022-07-01,9999-12-31,Y
